pathway,phnx_z_score,mean_path_score,sd_path_score
single stranded dna endodeoxyribonuclease activity,-0.537187981,0.011220463,0.002195624
mannosyltransferase activity,-0.835962101,0.016581544,0.003055814
trna binding,-1.166015325,0.042624176,0.004586711
l ornithine transmembrane transporter activity,-0.452076048,0.003719484,0.001235376
sulfur amino acid transmembrane transporter activity,-0.757419645,0.013843269,0.002671266
microfilament motor activity,-0.776528098,0.026833028,0.003926488
snare binding,-1.583185838,0.090681153,0.006666402
rdna binding,-0.211428396,0.005091906,0.001768476
dna secondary structure binding,2.823804545,0.039146791,0.004424601
peroxisome targeting sequence binding,-0.253682405,0.006289603,0.001772307
magnesium ion binding,-2.500237338,0.206353189,0.010465082
endopolyphosphatase activity,-0.108291365,0.003763644,0.001363396
rna cap binding,-0.502701664,0.018716289,0.002966549
rna 7 methylguanosine cap binding,-0.349850373,0.011290988,0.002446726
four way junction dna binding,0.518042177,0.018980528,0.003025761
y form dna binding,-0.293641502,0.005009495,0.001636332
bubble dna binding,-0.715622944,0.009874407,0.002001623
adenyl nucleotide exchange factor activity,-0.425533927,0.012681889,0.002551828
inositol 1 3 4 5 6 pentakisphosphate kinase activity,0.043037919,0.004984812,0.001514664
inositol hexakisphosphate kinase activity,-0.073458159,0.008861218,0.002194692
mrna regulatory element binding translation repressor activity,4.90159134,0.012630104,0.002482846
rna polymerase ii transcription regulatory region sequence specific dna binding,56.44650145,1.115307375,0.022739277
rna polymerase ii core promoter sequence specific dna binding,5.748693547,0.020354678,0.003392131
cis regulatory region sequence specific dna binding,55.41998862,0.998620026,0.022490567
rna polymerase ii complex binding,-0.251977458,0.035642435,0.004744215
rna polymerase iii general transcription initiation factor activity,-0.193266642,0.013752249,0.002474557
rna polymerase iii transcription regulatory region sequence specific dna binding,-0.518006981,0.006039034,0.001386147
rna polymerase i core binding,-0.379297718,0.003864842,0.001504997
core promoter sequence specific dna binding,4.857237144,0.048169379,0.00502953
rna polymerase ii activity,-0.325739718,0.003821828,0.001448482
rna polymerase ii general transcription initiation factor binding,4.691324361,0.028968046,0.003858389
tfiib class transcription factor binding,6.782885978,0.006363382,0.001985382
tfiid class transcription factor complex binding,1.461790917,0.011305374,0.002275035
basal transcription machinery binding,2.92985757,0.064642225,0.005762661
intronic transcription regulatory region sequence specific dna binding,4.880649254,0.011488719,0.002552177
rna polymerase ii intronic transcription regulatory region sequence specific dna binding,3.076591902,0.007619711,0.001994183
rna polymerase i transcription regulatory region sequence specific dna binding,-0.528530425,0.010146133,0.002378544
rna polymerase i general transcription initiation factor activity,-0.263909467,0.006459179,0.001929371
dna binding transcription activator activity,53.81449784,0.465727229,0.014849489
dna binding transcription repressor activity,30.78389686,0.280008871,0.01194128
transcription coregulator binding,17.9627694,0.117042802,0.007209924
transcription corepressor binding,6.042033561,0.044346488,0.004479206
transcription coactivator binding,11.70682448,0.044334901,0.004836333
n acetylglucosamine 6 o sulfotransferase activity,-0.070360765,0.007464342,0.001767206
lipopolysaccharide binding,-0.566864588,0.027694604,0.003770925
n acetylgalactosamine 4 o sulfotransferase activity,0.036048966,0.002474194,0.00099326
amyloid beta binding,-1.842231749,0.094926033,0.006909572
trace amine receptor activity,0,0,0
g protein coupled adenosine receptor activity,-0.425286238,0.005022147,0.001643945
g protein coupled chemoattractant receptor activity,-0.770400004,0.030391915,0.00399911
proteinase activated receptor activity,-0.578731821,0.006184676,0.001602946
peptide receptor activity,-1.853795205,0.110185039,0.007704756
g protein coupled receptor binding,-2.247032222,0.239230555,0.011416639
alpha n acetylgalactosaminide alpha 2 6 sialyltransferase activity,-0.634996805,0.003790294,0.001391021
atpase activator activity,-0.822987402,0.026538236,0.003784063
lipid kinase activity,-0.427883509,0.006349941,0.001780721
retinal dehydrogenase activity,-0.646389798,0.010100247,0.002319416
phosphotyrosine residue binding,-1.26529342,0.053153423,0.005111402
phosphatidylserine binding,-1.422219579,0.04679826,0.004797614
opsonin binding,-0.747737789,0.014902799,0.002568814
complement binding,-0.692326675,0.020164715,0.003256721
complement component c1q complex binding,-0.303172623,0.00632507,0.001890243
