gene,influence
KLF5,4.86E-02
EGR1,4.74E-02
ZIC4,4.61E-02
KLF15,4.46E-02
MAZ,4.46E-02
INSM1,4.33E-02
IRF5,4.31E-02
MZF1,4.29E-02
NEUROD1,4.29E-02
BCL11A,4.26E-02
SPIB,4.22E-02
TP73,4.21E-02
WT1,4.18E-02
NR0B1,4.15E-02
NHLH1,4.11E-02
ETV4,4.08E-02
KLF4,4.01E-02
RARG,3.99E-02
PPARG,3.93E-02
ZIC1,3.92E-02
SPI1,3.86E-02
SNAI1,3.84E-02
THRB,3.84E-02
PLAG1,3.83E-02
PRDM1,3.72E-02
ZIC3,3.72E-02
EHF,3.70E-02
HEY2,3.65E-02
ARNT2,3.64E-02
BHLHE41,3.42E-02
NR2F6,3.42E-02
EGR3,3.40E-02
ETS1,3.35E-02
TBX5,3.35E-02
NR1I3,3.33E-02
ZBTB6,3.32E-02
NR4A1,3.31E-02
GLI3,3.30E-02
NR5A2,3.30E-02
NR5A1,3.29E-02
RUNX2,3.24E-02
MECP2,3.23E-02
SNAI2,3.23E-02
HIC1,3.21E-02
KLF8,3.20E-02
STAT1,3.18E-02
ZNF423,3.16E-02
NR4A3,3.13E-02
HAND1,3.11E-02
HMGA1,3.05E-02
PITX2,3.04E-02
ZBTB7C,3.02E-02
YBX1,3.01E-02
ESR1,3.00E-02
GCM1,2.99E-02
GABPA,2.97E-02
TFAP2B,2.97E-02
FOXO1,2.95E-02
SRY,2.95E-02
NR2E1,2.94E-02
HESX1,2.92E-02
TCF3,2.91E-02
TP63,2.88E-02
GLI1,2.87E-02
FOXM1,2.81E-02
HNF4G,2.80E-02
MAFK,2.79E-02
SREBF1,2.78E-02
NR3C2,2.77E-02
RFX2,2.77E-02
GLI2,2.76E-02
AR,2.74E-02
NFIB,2.74E-02
ELK4,2.73E-02
TCF7L1,2.73E-02
ZBTB33,2.70E-02
NR2F1,2.69E-02
SOX2,2.68E-02
ONECUT2,2.67E-02
CEBPB,2.65E-02
FOXC2,2.64E-02
SOX18,2.62E-02
KLF13,2.60E-02
GFI1B,2.58E-02
CPEB1,2.56E-02
FOXI1,2.56E-02
RARA,2.56E-02
TBX1,2.52E-02
E2F8,2.51E-02
FOSB,2.51E-02
TBX3,2.50E-02
NR1H4,2.49E-02
FOSL1,2.47E-02
NKX3-2,2.47E-02
PKNOX2,2.45E-02
HOXD13,2.42E-02
TBR1,2.42E-02
PGR,2.38E-02
MEIS2,2.36E-02
NR4A2,2.34E-02
E2F2,2.29E-02
FOXA1,2.27E-02
