gene,influence
ZIC1,1.25E-02
E2F6,1.19E-02
SPI1,1.14E-02
PURA,1.08E-02
SP1,1.05E-02
CTCF,1.05E-02
PLAG1,1.05E-02
IRF5,1.03E-02
ELF2,1.00E-02
EGR1,1.00E-02
ZFX,9.94E-03
SP3,9.76E-03
EGR2,9.74E-03
KLF1,9.73E-03
KLF4,9.69E-03
KLF6,9.61E-03
ZBTB7A,9.57E-03
E2F1,9.43E-03
DNMT1,9.40E-03
ZIC4,9.28E-03
MZF1,9.15E-03
SP2,9.13E-03
RREB1,9.05E-03
ELK4,9.02E-03
HES1,8.99E-03
E2F4,8.99E-03
TFAP2A,8.94E-03
BCL11A,8.90E-03
ZNF350,8.85E-03
ESR1,8.78E-03
TCF12,8.75E-03
EHF,8.69E-03
ZNF219,8.63E-03
FLI1,8.53E-03
ATF5,8.41E-03
ZNF148,8.39E-03
MAZ,8.31E-03
NHLH1,8.30E-03
MYF6,8.28E-03
BHLHE41,8.26E-03
TFAP2B,8.19E-03
SP4,8.16E-03
IRF1,8.14E-03
MYOD1,8.14E-03
ETS2,8.08E-03
KLF5,8.06E-03
ELF1,8.03E-03
EGR4,8.02E-03
ETV4,8.00E-03
ARNT2,7.87E-03
NEUROD1,7.80E-03
PRDM4,7.79E-03
TFAP2C,7.75E-03
SREBF1,7.68E-03
PLAGL1,7.60E-03
HNF4G,7.58E-03
WT1,7.56E-03
MBD2,7.53E-03
ZBTB6,7.47E-03
IRF8,7.38E-03
SNAI1,7.38E-03
FEV,7.36E-03
NR0B1,7.36E-03
NR4A3,7.30E-03
HEY2,7.28E-03
ZBTB7B,7.24E-03
STAT2,7.23E-03
PPARG,7.22E-03
HIVEP2,7.22E-03
TCF4,7.20E-03
SMAD1,7.19E-03
RFX5,7.15E-03
ZIC3,7.10E-03
PITX2,7.08E-03
INSM1,7.07E-03
NR2F1,7.06E-03
RUNX2,6.98E-03
MLXIPL,6.94E-03
ESR2,6.93E-03
KLF15,6.93E-03
ETV6,6.91E-03
BPTF,6.86E-03
NR1I3,6.85E-03
YY1,6.84E-03
USF2,6.84E-03
TBX1,6.82E-03
TFCP2,6.74E-03
THRB,6.68E-03
NR2E1,6.63E-03
THRA,6.62E-03
RARG,6.61E-03
ZNF143,6.59E-03
KLF3,6.59E-03
HIC2,6.58E-03
STAT4,6.51E-03
TP63,6.51E-03
ELF3,6.48E-03
MYOG,6.48E-03
SCRT1,6.48E-03
ONECUT2,6.38E-03
ZNF274,6.32E-03
ESRRA,6.29E-03
SNAI2,6.28E-03
RARB,6.27E-03
ETS1,6.27E-03
NRF1,6.24E-03
GCM1,6.22E-03
HIVEP1,6.20E-03
GABPA,6.12E-03
CEBPB,6.11E-03
EGR3,6.11E-03
ELK3,6.10E-03
FOXC2,6.05E-03
HMGA1,6.02E-03
TGIF1,6.01E-03
TFAP4,5.98E-03
ZNF282,5.96E-03
TCF3,5.92E-03
RUNX3,5.90E-03
PRDM1,5.89E-03
NR4A2,5.87E-03
SOX2,5.87E-03
THAP1,5.83E-03
HSF1,5.78E-03
ZBTB7C,5.77E-03
RARA,5.76E-03
TCF7L2,5.74E-03
ETV7,5.74E-03
IRF3,5.72E-03
FOXI1,5.72E-03
MEF2A,5.68E-03
DDIT3,5.62E-03
NR6A1,5.61E-03
NR5A1,5.61E-03
TWIST1,5.60E-03
IRF4,5.59E-03
HIC1,5.59E-03
NR1H4,5.57E-03
NKX3-2,5.52E-03
FOXJ3,5.50E-03
ATF6,5.50E-03
NR2E3,5.49E-03
TEAD4,5.48E-03
NR2C1,5.47E-03
TP73,5.46E-03
RXRB,5.45E-03
FOXO3,5.44E-03
ARNTL,5.43E-03
NR1D1 /// THRA,5.41E-03
PBX3,5.40E-03
NFE2L2,5.39E-03
PGR,5.39E-03
TFE3,5.38E-03
STAT3,5.37E-03
RXRG,5.37E-03
NKX2-1,5.31E-03
FOXO4,5.30E-03
AR,5.30E-03
RXRA,5.30E-03
SRY,5.28E-03
MAF,5.27E-03
TBX5,5.23E-03
GFI1,5.23E-03
NFIX,5.23E-03
NR2F2,5.22E-03
NFKB1,5.22E-03
E2F3,5.20E-03
MAFB,5.18E-03
NFATC4,5.18E-03
TBX2,5.18E-03
CPEB1,5.18E-03
KLF13,5.12E-03
FOXJ2,5.10E-03
ZKSCAN3,5.10E-03
BCL6,5.07E-03
NR3C2,5.07E-03
RELA,5.04E-03
MEF2C,5.04E-03
VDR,5.02E-03
TEAD1,5.02E-03
GLI1,5.00E-03
MYC,4.99E-03
MECP2,4.98E-03
KLF8,4.98E-03
NFAT5,4.98E-03
CREB3L1,4.96E-03
E2F2,4.96E-03
MTF1,4.96E-03
HNF4A,4.91E-03
AIRE,4.91E-03
NFKB2,4.91E-03
HOXD13,4.90E-03
HSF4,4.89E-03
MEIS2,4.86E-03
ZNF384,4.86E-03
NR2C2,4.86E-03
STAT1,4.83E-03
MGA,4.82E-03
NFYA,4.80E-03
FOXF1,4.80E-03
ARID3A,4.79E-03
NR4A1,4.78E-03
SPIB,4.73E-03
