787,1,,,,,,,,,,,,,,,,
0.16,0.53,0.53,0.3,0.23,-0.3,-0.32,-0.47,-0.07,-0.18,0.39,0.04,0.12,-0.23,0.06,0.11,0.11,-0.37
-1.54,-0.14,-1.05,-1.16,-0.69,0.08,0.61,0.76,0.75,0.44,-0.24,-0.3,0.76,-0.22,0.17,0.37,0.93,0.45
-0.01,-0.01,-0.25,-0.08,-0.23,0.09,0.15,-0.01,-0.08,0.04,-0.25,0.06,0.17,-0.09,0.21,0.09,0.23,-0.08
-0.64,0,0.48,0.4,0.21,0.3,-0.36,-0.05,0.03,-0.18,0.09,0.12,0.25,0.02,-0.28,0.06,-0.3,-0.14
2.17,0.13,0.5,0.28,0.11,-0.32,-0.18,-0.47,-0.14,-0.23,0.19,0.18,-0.15,-0.52,-0.38,-0.49,-0.13,-0.54
4.44,3.07,1.8,-0.63,-0.71,-1.24,-0.82,-1.35,-1.26,-0.99,-0.48,-0.12,-0.25,-0.25,-0.53,-0.52,-0.38,-0.03
3.49,2.57,1.71,0.46,-1.22,-0.9,-1.39,-1.15,-0.92,-0.36,0.05,-0.02,0.06,-0.49,-0.49,-0.66,-0.51,-0.24
-0.29,0.12,0.12,-0.35,0.3,-0.21,0.08,-0.07,-0.19,-0.02,0.2,-0.01,0.08,0.12,0.12,-0.01,0.09,-0.11
-0.06,0.92,1.63,1.01,0.32,-0.15,-0.19,-0.01,0.16,0.29,0.62,0.04,-0.53,-1.15,-1.11,-0.89,-0.51,-0.4
-0.92,-1.32,-0.49,-0.19,0.48,0.13,0.79,-0.01,0.3,0.35,-0.17,0.2,0.23,-0.13,0.31,0.2,0.08,0.13
-1.04,-0.51,-1.39,-1.04,-0.78,0.23,1.03,0.95,0.95,0.39,-0.22,-0.49,-0.61,-0.25,0.4,0.64,1.16,0.58
-0.2,0.39,-0.12,0.04,-0.29,0.2,-0.12,-0.31,-0.04,0.51,-0.2,0.26,0.04,-0.2,-0.58,0.31,0.07,0.25
-0.61,-0.28,-0.18,-0.07,-0.21,0.46,0.01,0.28,0.22,0.03,0.39,-0.2,-0.25,-0.43,0.26,0.17,0.16,0.26
-0.48,0.63,0.91,0.56,0.27,-0.13,0.05,-0.38,-0.32,-0.48,-0.09,-0.4,-0.12,-0.16,0.22,-0.23,0.11,0.04
-0.84,-0.78,1.16,-0.05,0.1,0.22,0.41,0.3,0.16,0.09,-0.09,-0.3,-0.21,-0.3,-0.04,-0.24,0.45,-0.04
-0.12,-0.77,-0.25,-0.54,0.35,0.37,0.54,0.54,0.05,-0.23,-0.18,-0.05,0.01,-0.06,0.32,0.17,0.34,0.06
-0.72,0.43,0.11,0.48,-0.13,-0.32,0,-0.02,1.1,-0.16,0.21,-0.26,-0.11,-0.53,0.54,-0.35,-0.26,-0.02
-0.44,0.37,0.5,1.32,0.46,0.18,-0.57,-0.53,-0.17,-0.06,0.23,0.46,0.24,-0.22,-0.44,-0.25,-0.53,-0.55
-0.86,-0.29,0.42,0.46,0.3,0.1,-0.63,-0.09,-0.31,-0.45,0.64,0.39,0.12,0.14,0.02,0.44,-0.23,-0.15
0.2,-0.61,0.13,-0.85,-0.99,-1.14,-1.5,-1.14,0.11,2.09,2.18,1.21,0.47,0.09,-0.37,-0.28,-0.5,0.9
0.23,-0.4,0.28,-0.23,0.16,-0.25,0.21,-0.23,0.12,-0.08,0.22,-0.01,0.03,-0.05,0.3,-0.03,0.08,-0.34
-1.13,-1.13,-0.48,-0.57,-0.75,0.14,0.18,0.38,0.58,0.81,0.36,0.08,-0.08,-0.45,-0.08,0.32,0.46,0.23
-0.11,0.72,0.15,-0.62,-0.16,-0.11,0.29,0.21,0.07,0.01,-0.27,-0.18,-0.21,-0.11,0.15,0.04,0.01,0.1
-0.1,-1.06,-0.67,-0.82,0.03,-0.08,0.92,-0.01,0.54,-0.01,0.07,-0.33,0.23,-0.22,0.35,0.15,0.6,0.41
0.37,-0.04,0.15,-0.2,-0.1,-0.25,0.31,-0.06,0.17,-0.06,-0.07,-0.03,-0.04,-0.04,0.19,0.06,-0.32,-0.06
-0.41,-0.23,0.23,0.08,0.39,0.3,0.52,0.1,0.34,0.07,0.23,-0.14,0.03,-0.8,-0.08,-0.39,0.1,-0.32
-0.87,-0.81,0.48,0.45,0.63,0.39,-0.23,-0.05,-0.05,-0.39,0.03,0.33,0.23,0,0.26,-0.11,0.03,-0.33
0.13,-0.26,0.23,-0.65,-0.36,-0.46,0.06,0.31,0.29,0.21,0.23,0.2,-0.04,-0.07,-0.02,0.24,-0.05,0.02
0.04,-0.38,0.11,-0.06,0.29,0.31,0.16,-0.14,-0.35,-0.24,0.19,0.11,-0.02,0.03,0.16,-0.08,0.07,-0.22
-0.37,-0.41,0.8,0.91,0.25,-0.03,-0.2,-0.33,-0.52,0.01,0.08,0.64,0.22,-0.18,-0.43,-0.45,-0.37,0.35
-0.35,-0.57,1.05,0.86,0.38,0.59,0.12,-0.58,-0.48,-0.38,0.33,0.54,0.26,-0.41,-0.12,-0.35,-0.41,-0.5
-0.28,-0.28,0.18,0.07,0.23,-0.06,-0.13,0.09,-0.12,-0.27,0.23,-0.36,0.31,-0.1,0.36,0.35,-0.37,-0.13
-0.12,1.1,-0.19,-0.75,0.07,-0.06,0.45,-0.08,-0.08,0.01,-0.14,-0.15,0.04,-0.06,-0.14,-0.01,0.02,0.09
-0.71,1.15,1.15,-0.8,-0.48,0.04,0.49,0.27,0.25,-0.12,-0.21,-0.54,-0.46,-0.46,0.48,0.35,0.38,-0.09
-0.74,-0.48,-1.1,-0.83,-0.51,0.09,0.63,0.62,0.75,0.49,0.02,-0.12,-0.61,-0.22,0.12,0.66,0.67,0.55
-0.43,-0.43,-0.2,0.11,-0.18,-0.41,0.24,0.05,0.08,0.4,0.12,-0.06,-0.11,-0.26,-0.04,0.28,0.14,0.26
-1.22,-1.22,0.06,0.01,-0.62,0.18,-1.05,-1.16,-0.84,0.16,0.88,1.59,0.94,0.59,0.23,0.34,0.34,-0.1
-0.61,-0.1,0.21,0.38,0.07,0.05,-0.1,-0.42,-0.16,0.27,0.13,0.38,0.29,-0.02,-0.27,-0.06,-0.06,0.02
-0.77,-0.84,-0.08,0.08,0.05,0.29,0.92,0.47,0.57,-0.06,0.1,0.13,0.11,-0.49,-0.22,-0.19,0.01,-0.06
-1.58,-0.82,-0.63,-0.44,-0.09,0.48,1.19,0.82,1.12,0.83,0.46,0.12,-0.11,-0.72,-0.39,0.05,-0.19,-0.11
