"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.56867342174274e-06,32,437,3.08814565367282,"Reproductive structure development "," http://amigo.geneontology.org/amigo/term/GO:0048608"," FOXC1  ASPM  PTGS2  LRP2  PGR  HSD17B2  ESR1  COL9A3  SFRP1  GATA3  STC2  KIF18A  CITED1  E2F8  LRRC6  FOXA1  TBX3  CGA  RBP4  BMPR1B  WNT4  PTX3  IGF2  AR  KRT19  BCL2  LEP  WT1  SERPINA5  GJB3  SERPINB5  CRIP1"
4.91339371043951e-07,41,581,2.97602762891867,"Reg. of hormone levels "," http://amigo.geneontology.org/amigo/term/GO:0010817"," CYP26B1  TAC1  CACNA2D2  TFAP2B  C1QTNF3  HSD17B2  ESR1  DHRS2  SLC7A5  SFRP1  GATA3  NMU  STC2  MYB  EDN3  FOXA1  ACE2  GRP  TBX3  CGA  RBP4  AGTR1  CORIN  EGFR  SYBU  ADRA2A  UGT2B4  CAMK2N1  WNT4  CPA3  CRABP1  MYRIP  LEP  PCSK1  SOX11  ADIPOQ  ADH1B  UGT2B17  DIO1  FOXD1  CES1"
2.01715435215028e-08,63,1042,2.54977621135036,"Pos. reg. of cell population proliferation "," http://amigo.geneontology.org/amigo/term/GO:0008284"," TAC1  PAX6  TFAP2B  LTF  IGF1  CDH3  ASPM  PTGS2  LRP2  IL12RB2  CEACAM6  CHRD  ESR1  CDC6  SOX10  SFRP1  CCNE1  COMP  EZH2  LHX2  ODAM  AREG  FOXM1  ST8SIA1  TTK  IGFBP2  CDC20  MYB  PTGFR  EDN3  CITED1  SIX1  VAV3  VTCN1  IL6ST  TBX3  CGA  HTR2B  FGFBP1  THBS1  AGTR1  CCNA2  EGFR  ADRA2A  S100B  IGF2  CX3CR1  AR  CXCL10  CDK1  BCL2  HPSE  LEP  SCUBE2  FOXG1  SOX11  MAB21L1  CLDN5  KRT6A  MMP12  PRAME  CCL14  GCNT2"
1.21720941476033e-07,60,1017,2.48805245327253,"Response to lipid "," http://amigo.geneontology.org/amigo/term/GO:0033993"," CYP26B1  TAC1  LTF  MAOB  PTGS2  CXCL2  IL12RB2  PGR  HSD17B2  IRAK3  ESR1  SOX10  PTK6  SFRP1  EZH2  AREG  SCGB2A2  STC2  IGFBP2  MYB  KIF18A  PTGFR  SLPI  PCK1  SCGB2A1  FOSB  CITED1  FOXA1  ASS1  THBS1  RBP4  CXCL9  S100A8  S100A7  ACTA1  CCNA2  EGFR  PSPH  LCN2  CXCL13  TIMP4  S100B  BRINP3  S100A9  ADCY1  CX3CR1  AR  CXCL10  CXCL11  CXCL8  FOS  BCL2  LEP  LPL  GLDC  ADIPOQ  GJB3  ESRRG  TAT  CES1"
1.18928557459615e-06,52,897,2.44478197582432,"Pos. reg. of cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045597"," CYP26B1  PROM1  PAX6  LTF  IGF1  FOXC1  CAMK2B  ASPM  PTGS2  LRP2  SOX10  OLFM4  METRN  SFRP1  EZH2  SFRP4  GATA3  ZBTB16  DLX2  MYB  EDN3  PCK1  SPDEF  SIX1  TPH1  FOXA1  OLFM1  IL6ST  BMPR1B  CXCL9  AGTR1  EGFR  ADIRF  CHODL  WIF1  PDPN  WNT4  BRINP3  CX3CR1  AR  FAXDC2  FOS  BCL2  SCUBE2  LPL  FOXG1  SOX11  ZBED2  ADIPOQ  CLDN5  MAPT  GCNT2"
4.91339371043951e-07,61,1094,2.35148248086027,"Tube development "," http://amigo.geneontology.org/amigo/term/GO:0035295"," PROM1  PAX6  TFAP2B  FOXC1  PTGS2  LRP2  PGR  CHRD  ESR1  SEMA6A  SOX10  PTK6  SFRP1  COMP  MET  MEOX2  AGR2  SLC1A1  LHX2  GATA3  AREG  FOLR1  KIF18A  SPDEF  CITED1  SIX1  E2F8  FOXA1  ASS1  PYY  CHI3L1  VAV3  IL6ST  TBX3  FGFBP1  THBS1  RBP4  COL2A1  S100A7  RHOB  AGTR1  EGFR  CXCL13  PDPN  WNT4  EN1  CX3CR1  AR  CXCL10  CXCL8  EMX2  SOSTDC1  BCL2  HPSE  LEP  SOX11  CLDN5  WT1  APOD  FOXD1  MMP12"
1.26951471247916e-06,60,1122,2.25521331994489,"Enzyme linked receptor protein signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007167"," TFAP2B  GPRC5A  IGF1  FOXC1  CDH3  LRP2  CHRD  TF  SEMA6A  PTK6  FERMT1  SFRP1  PLAT  COMP  MET  SFRP4  AGR2  ASPN  SH3GL2  GATA3  DKK1  AREG  FOLR1  TTK  GRB14  GALNT3  IGFBP2  ATP6V1B1  FLRT3  CITED1  VAV3  IL6ST  FGFBP1  THBS1  CILP  BMPR1B  IGFBP4  CBLC  EGFR  ADRA2A  GFRA1  WNT4  TRAT1  SVEP1  IGF2  AR  FOS  NRTN  SHCBP1  SOSTDC1  LEP  SOX11  ADIPOQ  CLDN5  COL4A5  APOD  PTPRT  PEG10  FOXD1  GCNT2"
1.69750716776495e-06,60,1133,2.23331804499397,"Animal organ morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009887"," CYP26B1  PROM1  PAX6  TFAP2B  LTF  ELN  LAMA3  FOXC1  COL11A1  LRP2  PGR  ESR1  SEMA6A  SFRP1  COMP  SFRP4  SLC1A1  ASPN  GATA3  DKK1  ODAM  AREG  FOLR1  DLX2  ATP6V1B1  MSX2  CITED1  SIX1  GNGT1  FOXA1  GAMT  OLFM1  TBX3  HTR2B  CHAD  RBP4  BMPR1B  COL2A1  ACTA1  ZIC1  AQP5  WNT4  NPY1R  SYNPO2L  IGF2  FOXI1  AR  EMX2  SOSTDC1  BCL2  SCUBE2  FOXG1  SOX11  CLDN5  WT1  SERPINB5  CRIP1  TENM3  SLC44A4  FOXD1"
5.26181442032895e-07,72,1421,2.13681858829965,"Epithelium development "," http://amigo.geneontology.org/amigo/term/GO:0060429"," CYP26B1  PROM1  PAX6  TFAP2B  LAMA3  FOXC1  CDH3  LRP2  PGR  CHRD  ESR1  SOX10  PTK6  FERMT1  SFRP1  TJP3  MET  EZH2  SFRP4  MEOX2  AGR2  LHX2  GATA3  DKK1  AREG  FOLR1  PI3  PCK1  SPDEF  FLRT3  CITED1  SIX1  E2F8  FOXA1  PYY  GSTM3  IL6ST  DSC2  DSG3  TBX3  COL2A1  S100A7  RHOB  EGFR  PDPN  WNT4  EN1  AR  CXCL10  CDK1  SOSTDC1  KRT19  KRT15  BCL2  HPSE  SOX11  ZBED2  ADIPOQ  CLDN5  WT1  KRT5  KRT16  KRT14  KRT6A  KRT81  SERPINB5  SLC44A4  GSTA1  FOXD1  CES1  MMP12  KRT23"
1.18928557459615e-06,69,1373,2.11937490657312,"Pos. reg. of developmental proc. "," http://amigo.geneontology.org/amigo/term/GO:0051094"," CYP26B1  PROM1  PAX6  LTF  IGF1  FOXC1  CAMK2B  ASPM  SYT1  PTGS2  LRP2  SOX10  OLFM4  METRN  SYT17  SFRP1  EZH2  SFRP4  AGR2  GATA3  DKK1  ZBTB16  DLX2  CDC20  MYB  EDN3  PCK1  SPDEF  FLRT3  SIX1  TPH1  FOXA1  OLFM1  CHI3L1  IL6ST  THBS1  BMPR1B  CXCL9  RHOB  AGTR1  EGFR  ADIRF  CHODL  WIF1  CLSTN2  PDPN  WNT4  BRINP3  IGF2  CX3CR1  AR  CXCL8  FAXDC2  CDK1  FOS  BCL2  HPSE  LEP  SCUBE2  LPL  FOXG1  SOX11  ZBED2  ADIPOQ  CLDN5  WT1  FOXD1  MAPT  GCNT2"
